,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
352048,1,30,7,2022-01-30,AA,N9008U,2115,11066,CMH,"Columbus, OH",OH,13303,MIA,"Miami, FL",FL,637,635.0,-2.0,0.0,0.0,-1.0,0600-0659,935,953.0,18.0,18.0,1.0,1.0,0900-0959,0.0,,0.0,178.0,198.0,148.0,990.0,4,0.0,0.0,18.0,0.0,0.0
238647,1,7,5,2022-01-07,WN,N263WN,6187,10423,AUS,"Austin, TX",TX,11540,ELP,"El Paso, TX",TX,1920,2033.0,73.0,73.0,1.0,4.0,1900-1959,2000,2102.0,62.0,62.0,1.0,4.0,2000-2059,0.0,,0.0,100.0,89.0,70.0,528.0,3,62.0,0.0,0.0,0.0,0.0
274529,1,30,7,2022-01-30,YX,,4578,11995,GSO,"Greensboro/High Point, NC",NC,12953,LGA,"New York, NY",NY,632,,,,,,0600-0659,820,,,,,,0800-0859,1.0,B,0.0,108.0,,,461.0,2,,,,,
27136,1,19,3,2022-01-19,DL,N816DN,1508,14524,RIC,"Richmond, VA",VA,10397,ATL,"Atlanta, GA",GA,1056,1054.0,-2.0,0.0,0.0,-1.0,1000-1059,1242,1232.0,-10.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,106.0,98.0,75.0,481.0,2,,,,,
403370,1,5,3,2022-01-05,B6,N665JB,348,12889,LAS,"Las Vegas, NV",NV,12478,JFK,"New York, NY",NY,1307,1405.0,58.0,58.0,1.0,3.0,1300-1359,2100,2144.0,44.0,44.0,1.0,2.0,2100-2159,0.0,,0.0,293.0,279.0,256.0,2248.0,9,7.0,0.0,0.0,0.0,37.0
306272,1,25,2,2022-01-25,AA,N812AW,350,13930,ORD,"Chicago, IL",IL,12953,LGA,"New York, NY",NY,1330,,,,,,1300-1359,1639,,,,,,1600-1659,1.0,A,0.0,129.0,,,733.0,3,,,,,
392197,1,21,5,2022-01-21,AS,N278AK,386,14057,PDX,"Portland, OR",OR,14679,SAN,"San Diego, CA",CA,1620,1614.0,-6.0,0.0,0.0,-1.0,1600-1659,1843,1823.0,-20.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,143.0,129.0,115.0,933.0,4,,,,,
23854,1,3,1,2022-01-03,DL,N591NW,2543,13204,MCO,"Orlando, FL",FL,10397,ATL,"Atlanta, GA",GA,700,755.0,55.0,55.0,1.0,3.0,0700-0759,836,929.0,53.0,53.0,1.0,3.0,0800-0859,0.0,,0.0,96.0,94.0,61.0,404.0,2,53.0,0.0,0.0,0.0,0.0
54388,1,13,4,2022-01-13,DL,N113DQ,2872,14869,SLC,"Salt Lake City, UT",UT,14908,SNA,"Santa Ana, CA",CA,810,834.0,24.0,24.0,1.0,1.0,0800-0859,917,936.0,19.0,19.0,1.0,1.0,0900-0959,0.0,,0.0,127.0,122.0,89.0,588.0,3,19.0,0.0,0.0,0.0,0.0
94074,1,13,4,2022-01-13,MQ,N205NN,3606,11298,DFW,"Dallas/Fort Worth, TX",TX,14783,SGF,"Springfield, MO",MO,1851,1848.0,-3.0,0.0,0.0,-1.0,1800-1859,2013,2006.0,-7.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,82.0,78.0,57.0,364.0,2,,,,,
211984,1,8,6,2022-01-08,WN,N496WN,2207,12191,HOU,"Houston, TX",TX,11278,DCA,"Washington, DC",VA,1140,1150.0,10.0,10.0,0.0,0.0,1100-1159,1525,1531.0,6.0,6.0,0.0,0.0,1500-1559,0.0,,0.0,165.0,161.0,148.0,1218.0,5,,,,,
456767,1,5,3,2022-01-05,OO,N933EV,5543,13158,MAF,"Midland/Odessa, TX",TX,11292,DEN,"Denver, CO",CO,1700,,,,,,1700-1759,1800,,,,,,1800-1859,1.0,B,0.0,120.0,,,563.0,3,,,,,
468073,1,29,6,2022-01-29,OO,N223JS,5623,14771,SFO,"San Francisco, CA",CA,14698,SBP,"San Luis Obispo, CA",CA,840,833.0,-7.0,0.0,0.0,-1.0,0800-0859,955,942.0,-13.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,75.0,69.0,41.0,190.0,1,,,,,
434845,1,12,3,2022-01-12,OO,N885AS,4231,11587,ESC,"Escanaba, MI",MI,13487,MSP,"Minneapolis, MN",MN,1640,1715.0,35.0,35.0,1.0,2.0,1600-1659,1710,1726.0,16.0,16.0,1.0,1.0,1700-1759,0.0,,0.0,90.0,71.0,50.0,304.0,2,16.0,0.0,0.0,0.0,0.0
82211,1,10,1,2022-01-10,G4,,846,11697,FLL,"Fort Lauderdale, FL",FL,11423,DSM,"Des Moines, IA",IA,1946,,,,,,1900-1959,2206,,,,,,2200-2259,1.0,A,0.0,200.0,,,1316.0,6,,,,,
6664,1,16,7,2022-01-16,DL,N387DA,2159,12217,HSV,"Huntsville, AL",AL,10397,ATL,"Atlanta, GA",GA,1507,1515.0,8.0,8.0,0.0,0.0,1500-1559,1705,1732.0,27.0,27.0,1.0,1.0,1700-1759,0.0,,0.0,58.0,77.0,36.0,151.0,1,8.0,0.0,19.0,0.0,0.0
127818,1,30,7,2022-01-30,NK,N623NK,625,13204,MCO,"Orlando, FL",FL,10821,BWI,"Baltimore, MD",MD,1943,2022.0,39.0,39.0,1.0,2.0,1900-1959,2156,2228.0,32.0,32.0,1.0,2.0,2100-2159,0.0,,0.0,133.0,126.0,105.0,787.0,4,32.0,0.0,0.0,0.0,0.0
178479,1,21,5,2022-01-21,WN,N7831B,1832,13232,MDW,"Chicago, IL",IL,10529,BDL,"Hartford, CT",CT,1325,1326.0,1.0,1.0,0.0,0.0,1300-1359,1620,1624.0,4.0,4.0,0.0,0.0,1600-1659,0.0,,0.0,115.0,118.0,102.0,777.0,4,,,,,
194226,1,4,2,2022-01-04,WN,N8691A,6123,14492,RDU,"Raleigh/Durham, NC",NC,10821,BWI,"Baltimore, MD",MD,1340,1424.0,44.0,44.0,1.0,2.0,1300-1359,1445,1517.0,32.0,32.0,1.0,2.0,1400-1459,0.0,,0.0,65.0,53.0,41.0,255.0,2,7.0,0.0,0.0,0.0,25.0
452582,1,4,2,2022-01-04,OO,N786SK,5683,13930,ORD,"Chicago, IL",IL,10372,ASE,"Aspen, CO",CO,1537,1544.0,7.0,7.0,0.0,0.0,1500-1559,1758,1815.0,17.0,17.0,1.0,1.0,1700-1759,0.0,,0.0,201.0,211.0,174.0,1013.0,5,17.0,0.0,0.0,0.0,0.0
296482,1,20,4,2022-01-20,9E,N691CA,5227,14814,SHV,"Shreveport, LA",LA,10397,ATL,"Atlanta, GA",GA,1535,1657.0,82.0,82.0,1.0,5.0,1500-1559,1817,1929.0,72.0,72.0,1.0,4.0,1800-1859,0.0,,0.0,102.0,92.0,71.0,551.0,3,72.0,0.0,0.0,0.0,0.0
446544,1,2,7,2022-01-02,OO,N170SY,3320,14262,PSP,"Palm Springs, CA",CA,10423,AUS,"Austin, TX",TX,1350,,,,,,1300-1359,1832,,,,,,1800-1859,1.0,A,0.0,162.0,,,1132.0,5,,,,,
208541,1,24,1,2022-01-24,WN,N8323C,1052,12173,HNL,"Honolulu, HI",HI,13830,OGG,"Kahului, HI",HI,640,636.0,-4.0,0.0,0.0,-1.0,0600-0659,725,715.0,-10.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,45.0,39.0,24.0,100.0,1,,,,,
337053,1,17,1,2022-01-17,AA,N770UW,1873,14122,PIT,"Pittsburgh, PA",PA,11057,CLT,"Charlotte, NC",NC,1220,1219.0,-1.0,0.0,0.0,-1.0,1200-1259,1351,1423.0,32.0,32.0,1.0,2.0,1300-1359,0.0,,0.0,91.0,124.0,62.0,366.0,2,0.0,0.0,32.0,0.0,0.0
418104,1,30,7,2022-01-30,B6,N612JB,499,12953,LGA,"New York, NY",NY,13204,MCO,"Orlando, FL",FL,2130,2306.0,96.0,96.0,1.0,6.0,2100-2159,22,138.0,76.0,76.0,1.0,5.0,0001-0559,0.0,,0.0,172.0,152.0,128.0,950.0,4,22.0,0.0,0.0,0.0,54.0
157405,1,21,5,2022-01-21,QX,N644QX,2373,10713,BOI,"Boise, ID",ID,11884,GEG,"Spokane, WA",WA,1045,1114.0,29.0,29.0,1.0,1.0,1000-1059,1101,1124.0,23.0,23.0,1.0,1.0,1100-1159,0.0,,0.0,76.0,70.0,57.0,287.0,2,0.0,0.0,0.0,0.0,23.0
430588,1,6,4,2022-01-06,OO,N738EV,3047,11292,DEN,"Denver, CO",CO,12892,LAX,"Los Angeles, CA",CA,630,654.0,24.0,24.0,1.0,1.0,0600-0659,830,843.0,13.0,13.0,0.0,0.0,0800-0859,0.0,,0.0,180.0,169.0,114.0,862.0,4,,,,,
238718,1,7,5,2022-01-07,WN,N227WN,3298,10693,BNA,"Nashville, TN",TN,10397,ATL,"Atlanta, GA",GA,700,735.0,35.0,35.0,1.0,2.0,0700-0759,910,1003.0,53.0,53.0,1.0,3.0,0900-0959,0.0,,0.0,70.0,88.0,42.0,214.0,1,35.0,0.0,18.0,0.0,0.0
406964,1,11,2,2022-01-11,B6,N988JT,334,14771,SFO,"San Francisco, CA",CA,10721,BOS,"Boston, MA",MA,1112,1056.0,-16.0,0.0,0.0,-2.0,1100-1159,1954,1919.0,-35.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,342.0,323.0,300.0,2704.0,11,,,,,
253524,1,28,5,2022-01-28,WN,N754SW,1166,14635,RSW,"Fort Myers, FL",FL,10693,BNA,"Nashville, TN",TN,1255,1304.0,9.0,9.0,0.0,0.0,1200-1259,1410,1402.0,-8.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,135.0,118.0,104.0,722.0,3,,,,,
419710,1,5,3,2022-01-05,DL,N137DU,561,12953,LGA,"New York, NY",NY,11298,DFW,"Dallas/Fort Worth, TX",TX,1025,1025.0,0.0,0.0,0.0,0.0,1000-1059,1347,1345.0,-2.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,262.0,260.0,230.0,1389.0,6,,,,,
66339,1,3,1,2022-01-03,F9,,1591,14492,RDU,"Raleigh/Durham, NC",NC,10397,ATL,"Atlanta, GA",GA,937,,,,,,0900-0959,1119,,,,,,1100-1159,1.0,A,0.0,102.0,,,356.0,2,,,,,
398567,1,14,5,2022-01-14,B6,N3023J,1766,14635,RSW,"Fort Myers, FL",FL,10721,BOS,"Boston, MA",MA,2020,2020.0,0.0,0.0,0.0,0.0,2000-2059,2323,2342.0,19.0,19.0,1.0,1.0,2300-2359,0.0,,0.0,183.0,202.0,172.0,1249.0,5,0.0,0.0,19.0,0.0,0.0
380,1,6,4,2022-01-06,DL,N848DN,2240,13487,MSP,"Minneapolis, MN",MN,10397,ATL,"Atlanta, GA",GA,620,620.0,0.0,0.0,0.0,0.0,0600-0659,1002,1002.0,0.0,0.0,0.0,0.0,1000-1059,0.0,,0.0,162.0,162.0,119.0,907.0,4,,,,,
331428,1,25,2,2022-01-25,AA,N986NN,774,12953,LGA,"New York, NY",NY,13930,ORD,"Chicago, IL",IL,2030,2021.0,-9.0,0.0,0.0,-1.0,2000-2059,2229,2212.0,-18.0,0.0,0.0,-2.0,2200-2259,0.0,,0.0,179.0,170.0,123.0,733.0,3,,,,,
495238,1,27,4,2022-01-27,UA,N39415,1591,14107,PHX,"Phoenix, AZ",AZ,11292,DEN,"Denver, CO",CO,1430,1659.0,149.0,149.0,1.0,9.0,1400-1459,1621,1846.0,145.0,145.0,1.0,9.0,1600-1659,0.0,,0.0,111.0,107.0,86.0,602.0,3,0.0,0.0,0.0,0.0,145.0
375108,1,23,7,2022-01-23,PT,N652RS,6069,13930,ORD,"Chicago, IL",IL,11267,DAY,"Dayton, OH",OH,820,818.0,-2.0,0.0,0.0,-1.0,0800-0859,1034,1108.0,34.0,34.0,1.0,2.0,1000-1059,0.0,,0.0,74.0,110.0,40.0,240.0,1,0.0,0.0,34.0,0.0,0.0
327380,1,19,3,2022-01-19,AA,N824AW,592,11423,DSM,"Des Moines, IA",IA,11298,DFW,"Dallas/Fort Worth, TX",TX,1525,1523.0,-2.0,0.0,0.0,-1.0,1500-1559,1739,1726.0,-13.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,134.0,123.0,100.0,624.0,3,,,,,
367492,1,30,7,2022-01-30,AA,N916NN,2449,11298,DFW,"Dallas/Fort Worth, TX",TX,12451,JAX,"Jacksonville, FL",FL,1937,2032.0,55.0,55.0,1.0,3.0,1900-1959,2252,2336.0,44.0,44.0,1.0,2.0,2200-2259,0.0,,0.0,135.0,124.0,109.0,918.0,4,44.0,0.0,0.0,0.0,0.0
292789,1,30,7,2022-01-30,9E,N200PQ,5077,11193,CVG,"Cincinnati, OH",KY,12953,LGA,"New York, NY",NY,854,,,,,,0800-0859,1048,,,,,,1000-1059,1.0,B,0.0,114.0,,,585.0,3,,,,,
