,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
0,WN,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",2
1,WN,IAH,"Houston, TX",MSY,"New Orleans, LA",2
2,F9,TPA,"Tampa, FL",DEN,"Denver, CO",7
3,WN,SMF,"Sacramento, CA",PHX,"Phoenix, AZ",3
4,YX,DCA,"Washington, DC",ATL,"Atlanta, GA",3
5,AA,LGA,"New York, NY",ORD,"Chicago, IL",3
6,9E,CHS,"Charleston, SC",LGA,"New York, NY",3
7,OO,DEN,"Denver, CO",COS,"Colorado Springs, CO",1
8,AA,SNA,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",5
9,DL,MSY,"New Orleans, LA",ATL,"Atlanta, GA",2
10,DL,SLC,"Salt Lake City, UT",SFO,"San Francisco, CA",3
11,NK,LAX,"Los Angeles, CA",DTW,"Detroit, MI",8
12,WN,BOS,"Boston, MA",DEN,"Denver, CO",8
13,UA,MCO,"Orlando, FL",LAX,"Los Angeles, CA",9
14,WN,MDW,"Chicago, IL",LGA,"New York, NY",3
15,WN,ATL,"Atlanta, GA",MIA,"Miami, FL",3
16,OO,ORD,"Chicago, IL",DTW,"Detroit, MI",1
17,AA,XNA,"Fayetteville, AR",DFW,"Dallas/Fort Worth, TX",2
18,UA,HNL,"Honolulu, HI",LAX,"Los Angeles, CA",11
19,AA,BNA,"Nashville, TN",ORD,"Chicago, IL",2
20,OH,CLT,"Charlotte, NC",MYR,"Myrtle Beach, SC",1
21,AA,PHX,"Phoenix, AZ",JFK,"New York, NY",9
22,9E,CVG,"Cincinnati, OH",LGA,"New York, NY",3
23,AA,PHL,"Philadelphia, PA",MIA,"Miami, FL",5
24,WN,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",2
25,AA,EWR,"Newark, NJ",CLT,"Charlotte, NC",3
27,AA,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",2
28,DL,MCO,"Orlando, FL",LGA,"New York, NY",4
29,F9,DEN,"Denver, CO",PHX,"Phoenix, AZ",3
30,AA,DFW,"Dallas/Fort Worth, TX",TUS,"Tucson, AZ",4
31,AA,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",1
32,YX,JFK,"New York, NY",DCA,"Washington, DC",1
33,DL,LAS,"Las Vegas, NV",JFK,"New York, NY",9
34,ZW,DTW,"Detroit, MI",IAD,"Washington, DC",2
35,WN,DEN,"Denver, CO",DAL,"Dallas, TX",3
36,B6,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",5
37,B6,JFK,"New York, NY",SFO,"San Francisco, CA",11
38,YX,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",2
39,AA,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",3
40,AA,DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX",5
41,AA,BWI,"Baltimore, MD",CLT,"Charlotte, NC",2
42,YV,CLT,"Charlotte, NC",IAD,"Washington, DC",2
43,WN,STL,"St. Louis, MO",DCA,"Washington, DC",3
44,WN,BUR,"Burbank, CA",SMF,"Sacramento, CA",2
45,YX,CLT,"Charlotte, NC",EWR,"Newark, NJ",3
46,YX,BNA,"Nashville, TN",EWR,"Newark, NJ",3
47,WN,MCO,"Orlando, FL",BWI,"Baltimore, MD",4
48,WN,DEN,"Denver, CO",TPA,"Tampa, FL",7
49,DL,LAX,"Los Angeles, CA",JFK,"New York, NY",10
50,UA,EWR,"Newark, NJ",PBI,"West Palm Beach/Palm Beach, FL",5
51,B6,BOS,"Boston, MA",MIA,"Miami, FL",6
52,DL,PBI,"West Palm Beach/Palm Beach, FL",ATL,"Atlanta, GA",3
53,HA,LAX,"Los Angeles, CA",OGG,"Kahului, HI",10
54,YX,EWR,"Newark, NJ",PIT,"Pittsburgh, PA",2
55,AA,ATL,"Atlanta, GA",PHX,"Phoenix, AZ",7
56,NK,MCO,"Orlando, FL",SJU,"San Juan, PR",5
57,YX,MCI,"Kansas City, MO",LGA,"New York, NY",5
58,B6,EWR,"Newark, NJ",MCO,"Orlando, FL",4
59,MQ,DFW,"Dallas/Fort Worth, TX",LIT,"Little Rock, AR",2
60,UA,DEN,"Denver, CO",BWI,"Baltimore, MD",6
61,AA,PHL,"Philadelphia, PA",TPA,"Tampa, FL",4
62,YX,IND,"Indianapolis, IN",LGA,"New York, NY",3
63,OO,LGA,"New York, NY",ORD,"Chicago, IL",3
64,OH,DCA,"Washington, DC",STL,"St. Louis, MO",3
65,AS,SAN,"San Diego, CA",SEA,"Seattle, WA",5
66,WN,ATL,"Atlanta, GA",DAL,"Dallas, TX",3
67,B6,MCO,"Orlando, FL",BOS,"Boston, MA",5
68,AA,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",2
69,F9,LAS,"Las Vegas, NV",DTW,"Detroit, MI",7
70,MQ,DFW,"Dallas/Fort Worth, TX",GRK,"Killeen, TX",1
71,9E,LGA,"New York, NY",PIT,"Pittsburgh, PA",2
72,HA,OGG,"Kahului, HI",HNL,"Honolulu, HI",1
73,UA,PBI,"West Palm Beach/Palm Beach, FL",EWR,"Newark, NJ",5
74,OO,OKC,"Oklahoma City, OK",DEN,"Denver, CO",2
75,UA,LAX,"Los Angeles, CA",DEN,"Denver, CO",4
76,F9,IND,"Indianapolis, IN",DEN,"Denver, CO",4
77,WN,MKE,"Milwaukee, WI",DEN,"Denver, CO",4
78,AA,SFO,"San Francisco, CA",PHX,"Phoenix, AZ",3
79,AA,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",4
80,OO,SFO,"San Francisco, CA",SNA,"Santa Ana, CA",2
81,AA,DCA,"Washington, DC",TPA,"Tampa, FL",4
82,OO,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1
83,UA,IAD,"Washington, DC",EWR,"Newark, NJ",1
84,DL,MSP,"Minneapolis, MN",ATL,"Atlanta, GA",4
85,ZW,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",1
86,WN,MCO,"Orlando, FL",ATL,"Atlanta, GA",2
87,DL,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",6
88,9E,BNA,"Nashville, TN",JFK,"New York, NY",4
89,WN,DCA,"Washington, DC",MSY,"New Orleans, LA",4
90,9E,TYS,"Knoxville, TN",ATL,"Atlanta, GA",1
91,DL,JAN,"Jackson/Vicksburg, MS",ATL,"Atlanta, GA",2
92,UA,PDX,"Portland, OR",DEN,"Denver, CO",4
93,9E,JFK,"New York, NY",BUF,"Buffalo, NY",2
94,AS,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",3
95,AA,DFW,"Dallas/Fort Worth, TX",SLC,"Salt Lake City, UT",4
96,DL,EWR,"Newark, NJ",ATL,"Atlanta, GA",3
97,UA,LAS,"Las Vegas, NV",DEN,"Denver, CO",3
98,UA,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",2
99,OO,SLC,"Salt Lake City, UT",SAN,"San Diego, CA",3
100,OH,GSP,"Greer, SC",CLT,"Charlotte, NC",1
101,DL,LAS,"Las Vegas, NV",SLC,"Salt Lake City, UT",2
102,UA,DEN,"Denver, CO",IND,"Indianapolis, IN",4
103,AA,BOS,"Boston, MA",DCA,"Washington, DC",2
104,NK,DTW,"Detroit, MI",TPA,"Tampa, FL",4
105,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",3
106,OO,LAX,"Los Angeles, CA",PDX,"Portland, OR",4
108,AA,PHX,"Phoenix, AZ",SAT,"San Antonio, TX",4
109,MQ,BOS,"Boston, MA",ORD,"Chicago, IL",4
110,WN,MCI,"Kansas City, MO",ATL,"Atlanta, GA",3
111,DL,SEA,"Seattle, WA",LAX,"Los Angeles, CA",4
112,9E,ORF,"Norfolk, VA",LGA,"New York, NY",2
113,AA,MIA,"Miami, FL",TPA,"Tampa, FL",1
114,AA,CLT,"Charlotte, NC",RDU,"Raleigh/Durham, NC",1
115,WN,PDX,"Portland, OR",PHX,"Phoenix, AZ",5
116,DL,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",3
117,WN,BUR,"Burbank, CA",SJC,"San Jose, CA",2
118,F9,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",2
119,UA,SAN,"San Diego, CA",DEN,"Denver, CO",4
120,AA,LAX,"Los Angeles, CA",BOS,"Boston, MA",11
121,YX,DCA,"Washington, DC",BOS,"Boston, MA",2
122,NK,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",1
124,UA,SFO,"San Francisco, CA",LAX,"Los Angeles, CA",2
125,UA,ORD,"Chicago, IL",BOS,"Boston, MA",4
126,YX,ORD,"Chicago, IL",IND,"Indianapolis, IN",1
128,AS,SEA,"Seattle, WA",PHX,"Phoenix, AZ",5
129,AA,ATL,"Atlanta, GA",DFW,"Dallas/Fort Worth, TX",3
130,F9,DEN,"Denver, CO",LAS,"Las Vegas, NV",3
131,B6,BOS,"Boston, MA",DCA,"Washington, DC",2
132,WN,DEN,"Denver, CO",ATL,"Atlanta, GA",5
133,DL,ATL,"Atlanta, GA",MSY,"New Orleans, LA",2
134,AS,SEA,"Seattle, WA",SFO,"San Francisco, CA",3
136,YX,CLT,"Charlotte, NC",ORD,"Chicago, IL",3
137,AA,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1
138,DL,DTW,"Detroit, MI",DCA,"Washington, DC",2
139,9E,CLE,"Cleveland, OH",LGA,"New York, NY",2
140,DL,SLC,"Salt Lake City, UT",ATL,"Atlanta, GA",7
141,UA,SEA,"Seattle, WA",DEN,"Denver, CO",5
142,YX,RDU,"Raleigh/Durham, NC",BOS,"Boston, MA",3
143,WN,SMF,"Sacramento, CA",SAN,"San Diego, CA",2
144,DL,ATL,"Atlanta, GA",BOS,"Boston, MA",4
145,WN,ATL,"Atlanta, GA",PIT,"Pittsburgh, PA",3
146,AA,LAS,"Las Vegas, NV",CLT,"Charlotte, NC",8
147,DL,TPA,"Tampa, FL",DTW,"Detroit, MI",4
148,UA,IAD,"Washington, DC",DEN,"Denver, CO",6
149,G7,DCA,"Washington, DC",EWR,"Newark, NJ",1
150,WN,DEN,"Denver, CO",PHX,"Phoenix, AZ",3
151,UA,SFO,"San Francisco, CA",IAD,"Washington, DC",10
152,AS,ANC,"Anchorage, AK",SEA,"Seattle, WA",6
153,AA,MIA,"Miami, FL",LAX,"Los Angeles, CA",10
154,OO,PSP,"Palm Springs, CA",SFO,"San Francisco, CA",2
155,AA,CLT,"Charlotte, NC",DCA,"Washington, DC",2
156,AS,SFO,"San Francisco, CA",JFK,"New York, NY",11
157,OO,IAH,"Houston, TX",DCA,"Washington, DC",5
158,DL,AUS,"Austin, TX",JFK,"New York, NY",7
159,WN,LGA,"New York, NY",MDW,"Chicago, IL",3
160,G7,ORD,"Chicago, IL",STL,"St. Louis, MO",2
161,WN,OAK,"Oakland, CA",LAS,"Las Vegas, NV",2
162,WN,IAD,"Washington, DC",DEN,"Denver, CO",6
163,WN,BNA,"Nashville, TN",ORD,"Chicago, IL",2
165,AA,MCO,"Orlando, FL",PHL,"Philadelphia, PA",4
166,OO,COS,"Colorado Springs, CO",DEN,"Denver, CO",1
167,YX,LGA,"New York, NY",IND,"Indianapolis, IN",3
168,UA,EWR,"Newark, NJ",MIA,"Miami, FL",5
169,UA,BZN,"Bozeman, MT",DEN,"Denver, CO",3
170,OO,ASE,"Aspen, CO",DEN,"Denver, CO",1
171,WN,HNL,"Honolulu, HI",ITO,"Hilo, HI",1
172,WN,BWI,"Baltimore, MD",ATL,"Atlanta, GA",3
173,F9,MCO,"Orlando, FL",DFW,"Dallas/Fort Worth, TX",4
174,AA,EWR,"Newark, NJ",MIA,"Miami, FL",5
175,OO,ORD,"Chicago, IL",TVC,"Traverse City, MI",1
176,MQ,DFW,"Dallas/Fort Worth, TX",SGF,"Springfield, MO",2
177,DL,SEA,"Seattle, WA",MSP,"Minneapolis, MN",6
178,AS,AUS,"Austin, TX",LAX,"Los Angeles, CA",5
179,DL,ORD,"Chicago, IL",MSP,"Minneapolis, MN",2
180,DL,ECP,"Panama City, FL",ATL,"Atlanta, GA",1
181,DL,IAH,"Houston, TX",LGA,"New York, NY",6
182,AA,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",2
183,WN,BWI,"Baltimore, MD",MCO,"Orlando, FL",4
184,UA,DEN,"Denver, CO",PHX,"Phoenix, AZ",3
185,AS,FAI,"Fairbanks, AK",ANC,"Anchorage, AK",2
186,NK,BOS,"Boston, MA",FLL,"Fort Lauderdale, FL",5
187,DL,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",6
188,OH,SAV,"Savannah, GA",CLT,"Charlotte, NC",1
189,WN,DAL,"Dallas, TX",DEN,"Denver, CO",3
190,HA,ITO,"Hilo, HI",HNL,"Honolulu, HI",1
191,YV,IAH,"Houston, TX",ATL,"Atlanta, GA",3
193,B6,SLC,"Salt Lake City, UT",JFK,"New York, NY",8
194,AA,TPA,"Tampa, FL",MIA,"Miami, FL",1
195,9E,LGA,"New York, NY",CLE,"Cleveland, OH",2
196,UA,DEN,"Denver, CO",SFO,"San Francisco, CA",4
197,9E,DTW,"Detroit, MI",JFK,"New York, NY",3
198,DL,ATL,"Atlanta, GA",PBI,"West Palm Beach/Palm Beach, FL",3
199,UA,AUS,"Austin, TX",IAH,"Houston, TX",1
200,UA,ORD,"Chicago, IL",MCO,"Orlando, FL",5
201,WN,LAS,"Las Vegas, NV",SAN,"San Diego, CA",2
203,WN,BNA,"Nashville, TN",DCA,"Washington, DC",3
204,B6,LGA,"New York, NY",PBI,"West Palm Beach/Palm Beach, FL",5
205,WN,ATL,"Atlanta, GA",TPA,"Tampa, FL",2
206,F9,LAS,"Las Vegas, NV",DFW,"Dallas/Fort Worth, TX",5
207,OO,ONT,"Ontario, CA",SEA,"Seattle, WA",4
208,OO,LAX,"Los Angeles, CA",PHX,"Phoenix, AZ",2
209,WN,MDW,"Chicago, IL",MSP,"Minneapolis, MN",2
210,AS,SEA,"Seattle, WA",ANC,"Anchorage, AK",6
212,UA,MCO,"Orlando, FL",IAH,"Houston, TX",4
213,UA,LAX,"Los Angeles, CA",IAD,"Washington, DC",10
214,WN,SMF,"Sacramento, CA",LAX,"Los Angeles, CA",2
215,YX,LGA,"New York, NY",CVG,"Cincinnati, OH",3
216,NK,MIA,"Miami, FL",ORD,"Chicago, IL",5
217,AA,MIA,"Miami, FL",BWI,"Baltimore, MD",4
218,AA,CLT,"Charlotte, NC",LAS,"Las Vegas, NV",8
219,DL,PHX,"Phoenix, AZ",SLC,"Salt Lake City, UT",3
222,WN,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",2
223,B6,BOS,"Boston, MA",FLL,"Fort Lauderdale, FL",5
224,WN,OAK,"Oakland, CA",BUR,"Burbank, CA",2
225,UA,ORD,"Chicago, IL",LGA,"New York, NY",3
226,AS,SEA,"Seattle, WA",DEN,"Denver, CO",5
227,AA,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",5
228,DL,MCO,"Orlando, FL",DTW,"Detroit, MI",4
229,DL,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",3
230,WN,OMA,"Omaha, NE",DEN,"Denver, CO",2
231,WN,SJU,"San Juan, PR",FLL,"Fort Lauderdale, FL",5
232,UA,DEN,"Denver, CO",ABQ,"Albuquerque, NM",2
233,UA,ORD,"Chicago, IL",SAN,"San Diego, CA",7
234,WN,DEN,"Denver, CO",LAS,"Las Vegas, NV",3
