,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,selection
330949,2,26,6,2022-02-26,F9,N330FR,1570,10397,ATL,"Atlanta, GA",GA,10821,BWI,"Baltimore, MD",MD,1627,1651.0,24.0,24.0,1.0,1.0,1600-1659,1814,1859.0,45.0,45.0,1.0,3.0,1800-1859,0.0,,0.0,107.0,128.0,77.0,577.0,3,0.0,0.0,21.0,0.0,24.0,1.0
475177,2,23,3,2022-02-23,UA,N27253,1755,11618,EWR,"Newark, NJ",NJ,12266,IAH,"Houston, TX",TX,745,755.0,10.0,10.0,0.0,0.0,0700-0759,1046,1045.0,-1.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,241.0,230.0,207.0,1400.0,6,,,,,,0.0
52670,2,26,6,2022-02-26,QX,N403QX,2157,14747,SEA,"Seattle, WA",WA,14252,PSC,"Pasco/Kennewick/Richland, WA",WA,1745,1742.0,-3.0,0.0,0.0,-1.0,1700-1759,1842,1834.0,-8.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,57.0,52.0,36.0,172.0,1,,,,,,0.0
374164,2,24,4,2022-02-24,OH,N501BG,5454,11057,CLT,"Charlotte, NC",NC,14814,SHV,"Shreveport, LA",LA,1823,2011.0,108.0,108.0,1.0,7.0,1800-1859,2007,2140.0,92.0,92.0,1.0,6.0,2000-2059,0.0,,0.0,164.0,148.0,122.0,764.0,4,20.0,0.0,0.0,0.0,72.0,1.0
13102,2,16,3,2022-02-16,OO,N250SY,3879,14869,SLC,"Salt Lake City, UT",UT,15041,SUN,"Sun Valley/Hailey/Ketchum, ID",ID,1110,1107.0,-3.0,0.0,0.0,-1.0,1100-1159,1218,1257.0,39.0,39.0,1.0,2.0,1200-1259,0.0,,0.0,68.0,110.0,56.0,222.0,1,39.0,0.0,0.0,0.0,0.0,1.0
406441,2,14,1,2022-02-14,YV,N86316,6053,12266,IAH,"Houston, TX",TX,15016,STL,"St. Louis, MO",MO,1312,1309.0,-3.0,0.0,0.0,-1.0,1300-1359,1518,1506.0,-12.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,126.0,117.0,97.0,667.0,3,,,,,,0.0
117143,2,25,5,2022-02-25,WN,N491WN,1685,11697,FLL,"Fort Lauderdale, FL",FL,10423,AUS,"Austin, TX",TX,1835,1954.0,79.0,79.0,1.0,5.0,1800-1859,2050,2148.0,57.0,57.0,1.0,3.0,2000-2059,0.0,,0.0,195.0,173.0,153.0,1105.0,5,6.0,0.0,0.0,0.0,51.0,1.0
269552,2,27,7,2022-02-27,DL,N826DN,2278,13198,MCI,"Kansas City, MO",MO,10397,ATL,"Atlanta, GA",GA,1345,1357.0,12.0,12.0,0.0,0.0,1300-1359,1637,1647.0,10.0,10.0,0.0,0.0,1600-1659,0.0,,0.0,112.0,110.0,95.0,692.0,3,,,,,,0.0
362218,2,13,7,2022-02-13,NK,N663NK,960,14635,RSW,"Fort Myers, FL",FL,11042,CLE,"Cleveland, OH",OH,1559,,,,,,1500-1559,1839,,,,,,1800-1859,1.0,A,0.0,160.0,,,1025.0,5,,,,,,
37447,2,11,5,2022-02-11,OO,N157SY,5322,11292,DEN,"Denver, CO",CO,12280,IDA,"Idaho Falls, ID",ID,1540,1547.0,7.0,7.0,0.0,0.0,1500-1559,1727,1756.0,29.0,29.0,1.0,1.0,1700-1759,0.0,,0.0,107.0,129.0,80.0,458.0,2,29.0,0.0,0.0,0.0,0.0,1.0
