iter	Passed	Remaining
0	63	63599
1	70	35319
2	76	25351
3	80	20165
4	85	17049
5	90	14931
6	94	13435
7	98	12241
8	103	11368
9	107	10640
10	111	10065
11	115	9533
12	120	9124
13	124	8794
14	129	8504
15	133	8230
16	138	7985
17	142	7800
18	147	7635
19	152	7477
20	157	7329
21	162	7202
22	166	7087
23	171	6976
24	176	6875
25	181	6793
26	187	6750
27	196	6825
28	208	6987
29	217	7037
30	223	6999
31	229	6931
32	234	6861
33	239	6806
34	244	6754
35	249	6693
36	255	6639
37	260	6583
38	264	6516
39	268	6446
40	273	6392
41	278	6347
42	281	6268
43	286	6216
44	290	6165
45	294	6116
46	299	6071
47	303	6017
48	307	5971
49	312	5929
50	316	5880
51	320	5843
52	325	5809
53	329	5774
54	333	5734
55	338	5699
56	341	5641
57	345	5612
58	349	5576
59	354	5546
60	358	5516
61	362	5486
62	367	5458
63	371	5430
64	375	5402
65	380	5390
66	443	6175
67	449	6154
68	467	6304
69	473	6284
70	478	6256
71	483	6225
72	487	6194
73	492	6163
74	497	6138
75	502	6113
76	507	6086
77	512	6053
78	516	6023
79	520	5989
80	525	5957
81	529	5926
82	533	5895
83	537	5864
84	542	5835
85	546	5809
86	551	5782
87	556	5763
88	561	5749
89	567	5733
90	572	5713
91	577	5697
92	583	5688
93	588	5672
94	594	5660
95	599	5648
96	605	5634
97	609	5609
98	616	5608
99	622	5602
100	627	5581
101	633	5578
102	638	5561
103	643	5546
104	649	5532
105	654	5517
106	658	5499
107	664	5486
108	670	5480
109	675	5467
110	682	5464
111	687	5448
112	692	5434
113	696	5416
114	700	5392
115	704	5372
116	709	5354
117	713	5332
118	718	5317
119	723	5302
120	726	5280
121	731	5267
122	737	5255
123	741	5240
124	746	5224
125	750	5208
126	755	5190
127	759	5174
128	763	5155
129	768	5139
130	772	5123
131	776	5105
132	781	5097
133	786	5082
134	791	5069
135	796	5057
136	801	5047
137	806	5039
138	811	5029
139	816	5016
140	821	5001
141	825	4986
142	829	4971
143	833	4957
144	838	4944
145	842	4929
146	847	4915
147	851	4903
148	856	4890
149	860	4875
150	864	4861
151	868	4847
152	873	4834
153	877	4819
154	881	4806
155	886	4793
156	890	4779
157	894	4767
158	898	4752
159	902	4740
160	907	4728
161	911	4714
162	915	4702
163	919	4689
164	924	4677
165	928	4665
166	933	4654
167	937	4641
168	941	4630
169	946	4620
170	950	4608
171	954	4597
172	958	4584
173	963	4573
174	967	4560
175	971	4548
176	975	4537
177	981	4530
178	986	4522
179	991	4514
180	997	4511
181	1002	4505
182	1007	4499
183	1013	4494
184	1018	4485
185	1023	4478
186	1028	4470
187	1034	4466
188	1044	4480
189	1050	4480
190	1056	4475
191	1062	4472
192	1069	4469
193	1073	4460
194	1078	4452
195	1083	4444
196	1087	4434
197	1092	4425
198	1097	4416
199	1102	4408
200	1106	4399
201	1111	4391
202	1116	4383
203	1121	4376
204	1126	4367
205	1130	4357
206	1134	4347
207	1139	4339
208	1144	4332
209	1149	4323
210	1154	4316
211	1159	4309
212	1163	4300
213	1168	4291
214	1172	4281
215	1177	4274
216	1182	4265
217	1186	4255
218	1191	4247
219	1195	4238
220	1200	4230
221	1203	4216
222	1207	4207
223	1211	4198
224	1216	4190
225	1220	4181
226	1225	4172
227	1229	4164
228	1234	4154
229	1238	4146
230	1242	4137
231	1247	4129
232	1251	4120
233	1255	4111
234	1260	4102
235	1265	4095
236	1269	4087
237	1274	4080
238	1278	4072
239	1283	4063
240	1287	4056
241	1292	4048
242	1297	4041
243	1301	4033
244	1306	4025
245	1310	4017
246	1315	4008
247	1319	4002
248	1324	3994
249	1329	3987
250	1333	3977
251	1337	3970
252	1342	3963
253	1346	3954
254	1350	3946
255	1355	3939
256	1359	3931
257	1364	3923
258	1368	3916
259	1373	3908
260	1377	3901
261	1382	3893
262	1386	3886
263	1391	3879
264	1395	3871
265	1400	3865
266	1404	3857
267	1409	3849
268	1413	3841
269	1417	3833
270	1422	3826
271	1426	3818
272	1430	3810
273	1435	3802
274	1439	3794
275	1443	3786
276	1447	3779
277	1452	3771
278	1456	3763
279	1460	3755
280	1464	3748
281	1469	3741
282	1474	3734
283	1478	3726
284	1482	3719
285	1486	3711
286	1490	3703
287	1494	3695
288	1499	3688
289	1503	3680
290	1507	3673
291	1511	3665
292	1516	3658
293	1520	3650
294	1524	3643
295	1529	3637
296	1533	3629
297	1538	3623
298	1542	3616
299	1547	3609
300	1551	3602
301	1555	3595
302	1559	3588
303	1563	3580
304	1568	3573
305	1573	3567
306	1577	3560
307	1581	3554
308	1586	3547
309	1590	3540
310	1595	3534
311	1599	3528
312	1605	3522
313	1610	3517
314	1614	3511
315	1619	3505
316	1624	3499
317	1628	3492
318	1632	3485
319	1637	3478
320	1641	3472
321	1646	3466
322	1650	3458
323	1655	3453
324	1659	3446
325	1663	3439
